t,x,y,cx,cy,bx,by
9.70,-89.48,0.98, 0.01,-0.87,0.01,-0.87
9.95,-89.06,0.99, 0.01,-0.88,0.01,-0.87
10.76,-86.54,-0.84, -0.01,1.06,0.00,-0.23
11.05,-84.95,-0.99, -0.01,1.41,-0.00,0.18
11.30,-83.33,-0.69, -0.01,1.21,-0.00,0.39
11.55,-82.40,-0.64, -0.01,1.23,-0.01,0.53
11.79,-81.53,-0.43, -0.01,0.93,-0.01,0.59
13.59,-72.16,2.89, 0.01,-1.27,-0.00,0.35
13.86,-70.34,2.90, 0.01,-1.24,-0.00,0.18
14.06,-69.59,3.24, 0.02,-1.91,0.00,-0.03
14.33,-68.66,3.48, 0.02,-2.00,0.00,-0.21
14.49,-67.15,3.35, 0.02,-1.98,0.00,-0.36
14.72,-66.09,3.38, 0.02,-2.00,0.01,-0.48
14.91,-64.67,2.81, 0.01,-0.84,0.01,-0.51
15.14,-63.90,2.61, 0.00,-0.26,0.01,-0.49
15.99,-59.09,1.20, -0.00,0.00,0.00,-0.46
17.46,-51.22,-0.93, -0.02,2.00,0.00,-0.32
17.77,-49.66,-1.39, -0.02,2.00,0.00,-0.19
19.65,-39.17,-1.14, -0.01,1.14,0.00,-0.12
23.27,-25.01,0.34, -0.00,0.64,0.00,-0.08
23.47,-24.66,0.47, -0.00,0.36,0.00,-0.06
54.76,-3.21,5.87, -0.16,0.12,-0.01,-0.05
55.05,-2.28,8.42, -1.04,0.35,-0.05,-0.03
55.23,-2.28,8.42, -1.35,0.45,-0.11,-0.01
59.34,-0.91,31.22, -0.31,-0.01,-0.11,-0.01
59.45,-0.93,31.47, -0.18,-0.01,-0.12,-0.01
59.91,-0.63,34.27, -0.77,-0.03,-0.14,-0.01
60.04,-0.67,34.58, -0.60,-0.03,-0.16,-0.01
60.28,-0.71,35.38, -2.00,-2.00,-0.22,-0.08
60.58,-0.44,37.56, -2.00,-2.00,-0.28,-0.15
60.78,-0.47,38.42, -2.00,-2.00,-0.34,-0.21
60.99,-0.34,40.15, -2.00,-1.31,-0.39,-0.24
61.21,-0.47,41.11, -2.00,-2.00,-0.44,-0.29
61.32,-0.39,42.75, -1.24,-0.02,-0.46,-0.29
61.51,-0.58,43.44, -0.74,-0.02,-0.47,-0.28
61.80,-0.48,45.46, -1.09,-0.01,-0.49,-0.27
61.97,-0.71,46.23, -0.56,-0.01,-0.49,-0.26
62.36,-1.25,46.83, -2.00,-0.09,-0.53,-0.26
62.74,-1.57,48.39, -0.87,-0.02,-0.54,-0.25
82.94,-99.24,62.75, -0.77,-1.14,-0.54,-0.28
83.26,-100.35,61.77, -0.62,-0.82,-0.54,-0.29
