x,y
-199.57961562373768,-420.0939988380332
-198.7851204214024,-420.57091770743364
-197.98127110704561,-420.7040230677733
-197.2054524484216,-420.30477120947245
-196.47637408035038,-420.13842436475124
-195.96228094455546,-420.04970852152815
-195.46688204872305,-419.96099228102446
-194.79388511174227,-419.72809962334173
-194.0834995267538,-419.4841168950542
-193.27029593037463,-419.2512268984825
-192.40100881644832,-418.97397488305774
-191.50367889745564,-418.61908799924834
-191.50367889745564,-418.61908799924834
-189.60619330710347,-417.51004852325445
-188.6621193362923,-416.70044102400163
-187.74608368043062,-415.72447146079276
-186.9328630531292,-414.57104765876284
-186.2224576692068,-413.2512604057215
-186.2224576692068,-413.2512604057215
-185.10074737691943,-410.21241266437323
-184.792261406075,-408.537713326549
-184.58659284403188,-406.818648996064
-184.49308853054805,-405.0441287416985
-184.10982540270075,-403.336158483897
-184.08174985851565,-401.50618317889723
-184.08174985851565,-401.50618317889723
-184.1004087676244,-399.6207531789481
-184.06294920082837,-395.8166222772497
-183.77315472544402,-393.9644703190424
-183.1749076568443,-392.1788686731323
-182.7262137927329,-390.3710826838219
-182.3336032239909,-388.5965679182841
-182.3336032239909,-388.5965679182841
-181.91292139621902,-385.1917115066909
-181.81941920532876,-383.49482651197974
-181.68852688636954,-381.69812533352075
-181.4828606539693,-380.04560544929774
-181.38001273731987,-378.4152651879104
-181.22107954649823,-376.6296552714333
-181.22107954649823,-376.6296552714333
-180.86581995547533,-372.78116702666136
-180.66014936379023,-370.87355955242504
-180.57598868772806,-368.85504220767575
-180.5479092170384,-366.7699792460846
-180.47309627353226,-364.78473400493857
-180.47309627353226,-364.78473400493857
-180.42632413683162,-362.77730671694576
-180.31408295988592,-358.6071817785343
-180.3514327564506,-356.51102682237325
-180.33270225246164,-354.5257805220819
-180.30462449772998,-352.5294436241214
-180.29524309325154,-350.65510477528875
-180.29524309325154,-350.65510477528875
-180.29520833200368,-348.75858422344885
-180.61294422272442,-345.2871694157377
-180.79985514965233,-343.656823739106
-181.10827694327654,-341.99320352903317
-181.42604710430962,-340.40721847808004
-181.48210294854266,-338.9765089355566
-181.48210294854266,-338.9765089355566
-181.25775113120304,-337.7343475432534
-181.37921292380284,-335.0392897293001
-181.48200288904758,-333.5531254967803
-181.62217808388152,-331.9116898762652
-181.855820461976,-330.10389106451976
-182.0801157246136,-328.2960924158264
-182.0801157246136,-328.2960924158264
-182.3978464176326,-324.61395293363194
-182.3978464176326,-324.61395293363194
-182.5379822279734,-320.8652721355046
-182.69684698639927,-319.0020208433526
-182.89310078772647,-317.1942226688444
-182.89310078772647,-317.1942226688444
-183.0893555480626,-315.44187830404184
-183.4071224635468,-313.7449854862006
-184.43523564502166,-310.6284615583724
-185.20166492314542,-309.2642831710081
-186.08960741543774,-308.0221008292513
-187.1084115932416,-306.97954967069916
-187.1084115932416,-306.97954967069916
-188.22068817620104,-306.07008578778425
-190.80978491656072,-304.8167795483345
-192.29595261582784,-304.4951184441618
-193.79146962787436,-304.2954553370298
