tru_x, tru_y, ukf_x,ukf_y,error
-102.97785949707031, -35.43730163574219, -100.99122050130947,-33.43734018362897,2.8189679511155252
-102.97785949707031, -35.43730163574219, -101.00179623942309,-33.43957136564679,2.814453034850421
-102.97785949707031, -35.43730163574219, -100.98963631578113,-33.44535840197295,2.8144366537741425
-102.97785949707031, -35.43730163574219, -100.98956854572775,-33.44682990816284,2.814180113729933
-102.97785949707031, -35.43730163574219, -100.94733155755348,-33.448979334920516,2.819726683437419
-102.97785949707031, -35.43730163574219, -100.97696767943451,-33.44017143808582,2.820943857804647
-102.97785949707031, -35.43730163574219, -100.96810755715595,-33.43140888475271,2.8235934356957832
-102.97785949707031, -35.43730163574219, -100.9614927042014,-33.434977932618445,2.825851837609555
-102.97785949707031, -35.43730163574219, -100.9468117869781,-33.429014529341075,2.829233453777597
-102.97785949707031, -35.43730163574219, -100.94015371029795,-33.43620697842539,2.8319081598810656
-102.97785949707031, -35.43730163574219, -100.95768819840767,-33.43418190032089,2.8330912292939976
-102.97785949707031, -35.43730545043945, -100.95020612222848,-33.437948330044655,2.8343000205318667
-102.97785949707031, -35.43730545043945, -100.93921111419378,-33.44291580271126,2.835658500104596
-102.97785949707031, -35.43730545043945, -100.94214319988681,-33.44828279987251,2.8364051589743022
-102.97785949707031, -35.43730545043945, -100.95730252438139,-33.45387388083415,2.8360694251323566
-102.97785949707031, -35.43730545043945, -100.97000487631372,-33.43816370529581,2.835901398606899
-102.97785949707031, -35.43730545043945, -101.00204979891411,-33.43470306468919,2.8345675490337228
-102.97785949707031, -35.43730545043945, -101.01426064574801,-33.43124753493236,2.833043339435126
-102.97785949707031, -35.43730545043945, -100.99387448386727,-33.435931698590366,2.832256902207724
-102.97785949707031, -35.43730545043945, -100.97871912829312,-33.43444007961117,2.8321363882299626
-102.97785949707031, -35.43730163574219, -100.94351157320386,-33.43816717271628,2.833092342893596
-102.97785949707031, -35.43730163574219, -100.94725526400642,-33.431840007188505,2.834042005261198
-102.97785949707031, -35.43730163574219, -100.95275523394471,-33.43383467733311,2.8346780535758143
-102.97785949707031, -35.43730545043945, -100.92046829763012,-33.42715141682749,2.8364157497083666
-102.97785949707031, -35.43730545043945, -100.91691883391474,-33.43174109711106,2.8379879146707894
-102.97785949707031, -35.43730545043945, -100.98606489235384,-33.4313015067499,2.837561007154358
-102.97785949707031, -35.43730545043945, -100.98571476933387,-33.43195469887368,2.8371576952463466
-102.97785949707031, -35.43730545043945, -100.99678994108785,-33.434266240625874,2.836446104599705
-102.97785949707031, -35.43730545043945, -100.992364088268,-33.42850919599594,2.8360320588522696
-102.97785949707031, -35.43730163574219, -101.0022743314507,-33.4328366573276,2.8353108080433898
-102.97785949707031, -35.43730163574219, -100.9963963243174,-33.43419101220701,2.834738224925679
-102.97785949707031, -35.43730163574219, -100.97982468269728,-33.43223177039491,2.834609744020024
-102.97785949707031, -35.43730163574219, -100.97527987371637,-33.42663203137753,2.834706464177904
-102.97785949707031, -35.43730163574219, -100.97152934897645,-33.43358264516491,2.834730789936783
-102.97785949707031, -35.43730163574219, -100.95864004198125,-33.4208824509884,2.835270714099417
-102.97785949707031, -35.43730163574219, -100.97071181608082,-33.43192764202736,2.8353265710144457
-102.97785949707031, -35.43730545043945, -100.98201514350812,-33.426046557596095,2.835276416201129
-102.97785949707031, -35.43730545043945, -100.98901818164845,-33.42250236164062,2.8351655533480504
-102.97785949707031, -35.43730545043945, -100.99014752870426,-33.41853749798611,2.8351124424883523
-102.97785949707031, -35.43730545043945, -101.00874484408114,-33.41766049203579,2.8347522634172897
-102.97785949707031, -35.43730545043945, -100.9845523944433,-33.44696227864303,2.834316035104399
-102.97785949707031, -35.43730545043945, -100.98078847030098,-33.44881808403226,2.8339328414734606
-102.97785949707031, -35.43730545043945, -100.96492803796797,-33.437727365408676,2.834010878178926
-102.97785949707031, -35.43730545043945, -100.95444931265833,-33.4377939951875,2.8342534801849717
-102.97785949707031, -35.43730163574219, -100.9458541149572,-33.43377918043882,2.8346838511756998
-102.97785949707031, -35.43730163574219, -100.98637578407427,-33.44343990808414,2.8343225780659522
-102.97785949707031, -35.43730163574219, -100.98455487988196,-33.44275092398976,2.834014431365571
-102.97785949707031, -35.43730545043945, -100.9435075981585,-33.42263947452922,2.834620835611748
-102.97785949707031, -35.43730163574219, -100.95312177337284,-33.426325053447826,2.8350101561613084
-102.97785949707031, -35.43730163574219, -100.99838720859033,-33.43101967267589,2.834678305351008
-102.97785949707031, -35.43730545043945, -101.01013223885694,-33.43333145880769,2.8341656687455727
-102.97785949707031, -35.43730545043945, -100.98204069957376,-33.43608308622057,2.8340151269014298
-102.97785949707031, -35.43730545043945, -100.99752391404722,-33.44298335659147,2.833571913132544
-102.97785949707031, -35.43730545043945, -100.98554771196841,-33.45801298600506,2.8331050885593037
-102.97785949707031, -35.43730545043945, -100.9532708305769,-33.451072118592315,2.833161525317217
-102.97785949707031, -35.43730545043945, -100.96934426029452,-33.45370822476301,2.8329783691923507
-102.97785949707031, -35.43730545043945, -100.9677236921137,-33.45358857601447,2.832823346898655
-102.97785949707031, -35.43730545043945, -100.94834371973477,-33.449571204028736,2.8329605024006277
-102.97785949707031, -35.43730545043945, -100.9578900321225,-33.445952606097414,2.8330205851292316
-102.97785949707031, -35.43730545043945, -100.9608958683079,-33.443328342806986,2.833073741519021
-102.97785949707031, -35.43730545043945, -100.95140384609529,-33.45156182065317,2.8331413747828527
-102.97785949707031, -35.43730545043945, -100.96817017907667,-33.44241711006703,2.8331178583986145
-102.97785949707031, -35.43730545043945, -100.98816729019107,-33.4423565747466,2.8328710540096114
-102.97785949707031, -35.43730545043945, -100.9711507846456,-33.447686762799826,2.8327614444707874
-102.97785949707031, -35.43730545043945, -100.96928784372564,-33.433728791681816,2.832826952666963
-102.97785949707031, -35.43730545043945, -100.96501485849122,-33.441206308658906,2.8328564846297226
-102.97785949707031, -35.43730545043945, -100.98987674497995,-33.44310246846516,2.832602417271884
-102.97785949707031, -35.43730545043945, -100.98843364636348,-33.43891325678897,2.8324144450915587
-102.97785949707031, -35.43730545043945, -100.98478827439577,-33.436145429764906,2.8322976239927873
-102.97785949707031, -35.43730545043945, -100.97545169490266,-33.439321890374416,2.832246309215338
-102.97785949707031, -35.43730545043945, -100.9556839764705,-33.44419725494593,2.8323457800566185
-102.97785949707031, -35.43730545043945, -100.94260176660381,-33.44626237939804,2.832552036715688
-102.97785949707031, -35.43730545043945, -100.97691212856908,-33.43925107153558,2.83248587174024
-102.97785949707031, -35.43730545043945, -100.98717019799618,-33.43433245043836,2.832370644438818
-102.97785949707031, -35.43730545043945, -101.03394638932362,-33.43479611206117,2.8318170313035065
-102.97785949707031, -35.43730545043945, -100.99741395711058,-33.44007472623912,2.8315650559198753
-102.97785949707031, -35.43730545043945, -101.0036405335107,-33.443226825815906,2.83123363017492
-102.97785949707031, -35.43730545043945, -100.98091781677533,-33.43239510982924,2.831214510702218
-102.97785949707031, -35.43730163574219, -100.97325520818556,-33.434527519269125,2.83124527310755
-102.97785949707031, -35.43730163574219, -100.96671897104181,-33.44926956460669,2.831203323086202
-102.97785949707031, -35.43730163574219, -100.9728756433419,-33.44293105312048,2.831163536382661
-102.97785949707031, -35.43730163574219, -100.96988000335962,-33.448015509125135,2.831106963181599
-102.97785949707031, -35.43730163574219, -100.99130016691652,-33.44668541384022,2.830880243937294
-102.97785949707031, -35.43730163574219, -100.99045935550494,-33.448813747499564,2.8306480683229256
-102.97785949707031, -35.43730545043945, -101.00876944826737,-33.455488600700555,2.830213709331365
-102.97785949707031, -35.43730545043945, -101.00037129792676,-33.447318737269285,2.8299256700977216
-102.97785949707031, -35.43730545043945, -100.97403102683396,-33.437196282252216,2.8299404632812997
-102.97785949707031, -35.43730545043945, -100.95615579092177,-33.43986821804763,2.8300776581571148
-102.97785949707031, -35.43730545043945, -100.97100476187694,-33.432378036673995,2.830152725925374
-102.97785949707031, -35.43730545043945, -100.98955793608297,-33.44528848845076,2.8299789339155645
-102.97785949707031, -35.43730545043945, -100.98609989749396,-33.435439301286806,2.829912449927877
-102.97785949707031, -35.43730545043945, -100.9775088508592,-33.43084719992259,2.829948673660461
-102.97785949707031, -35.43730545043945, -100.97448142871507,-33.43249915319634,2.8299945430306734
-102.97785949707031, -35.43730545043945, -100.96900217398168,-33.42601559137064,2.8301294293203965
-102.97785949707031, -35.43730545043945, -100.9758871985403,-33.43324243347221,2.830156436622639
-102.97785949707031, -35.43730545043945, -100.99300709504858,-33.43848712284582,2.830018326839365
-102.97785949707031, -35.43730545043945, -100.99940168401135,-33.43279975410748,2.8298783516491337
-102.97785949707031, -35.43730545043945, -101.00582779867923,-33.43331253759402,2.82969147865424
-102.97785949707031, -35.43730545043945, -101.02598656650773,-33.43135241977061,2.8293801185059015
-102.97785949707031, -35.43730545043945, -101.03063353787127,-33.43080130527271,2.8290465530508033
-102.97785949707031, -35.43730545043945, -101.01424173889899,-33.4346231203055,2.8288058318883005
-102.97785949707031, -35.43730545043945, -101.02294124179792,-33.43781377451334,2.828487811045794
-102.97785949707031, -35.43730545043945, -101.00277079749307,-33.44532279983511,2.828261409860586
-102.97785949707031, -35.43730545043945, -101.00371624701648,-33.44285923459202,2.828049792898599
-102.97785949707031, -35.43730545043945, -101.01543466984283,-33.45351790105994,2.82769155123705
-102.97785949707031, -35.43730545043945, -101.0040521305878,-33.44320125392289,2.8274847807551198
-102.97785949707031, -35.43730545043945, -101.00362415325496,-33.447865329732814,2.827253730660744
-102.97785949707031, -35.43730545043945, -101.00323675369629,-33.43956483823035,2.8270840908603163
-102.97785949707031, -35.43730545043945, -100.99938261631719,-33.44336345312141,2.8269176828058193
-102.97785949707031, -35.43730545043945, -101.00920072304686,-33.44201378807272,2.8267002447632024
-102.97785949707031, -35.43730545043945, -100.97366956627174,-33.4424725161022,2.8267096473026037
-102.97785949707031, -35.43730545043945, -100.97960257881859,-33.437736012474716,2.8267112600841613
-102.97785949707031, -35.43730545043945, -100.98467041210192,-33.42966208035098,2.8267318172702742
-102.97785949707031, -35.43730545043945, -101.00966990722469,-33.44034251312138,2.826531187818244
-102.97785949707031, -35.43730545043945, -100.9886588812938,-33.435607908835024,2.8264918295367294
-102.97785949707031, -35.43730545043945, -100.98812951890625,-33.43592012302292,2.8264544579983437
-102.97785949707031, -35.43730545043945, -101.00009120767791,-33.438133422147224,2.826332301895595
-102.97785949707031, -35.43730545043945, -101.00562351145868,-33.432416557712095,2.826213780288778
-102.97785949707031, -35.43730545043945, -100.96715853433638,-33.438956889433676,2.8262862658353445
-102.97785949707031, -35.43730545043945, -100.97023648211936,-33.43484640927927,2.826363535004073
-102.97785949707031, -35.43730545043945, -100.98709835388367,-33.43664337289875,2.826330539749032
-102.97785949707031, -35.43730545043945, -101.00581019579774,-33.44035825751303,2.826168482500239
-102.97785949707031, -35.43730545043945, -101.0197066993835,-33.441994652209075,2.825920319154263
-102.97785949707031, -35.43730545043945, -101.03133554989678,-33.4379178171211,2.8256341167296424
-102.97785949707031, -35.43730545043945, -101.08276513001947,-33.435354897348105,2.8250823445766686
-102.97785949707031, -35.43730545043945, -101.02345366698732,-33.436121669673234,2.8248612133606623
-102.97785949707031, -35.43730545043945, -101.04331044394239,-33.42901189925807,2.8245748915718756
-102.97785949707031, -35.43730545043945, -100.97506115346883,-33.448614387719346,2.8245581100309685
-102.97785949707031, -35.43730545043945, -100.97457912249885,-33.443147505946925,2.8245741177288313
-102.97785949707031, -35.43730545043945, -100.98971740744243,-33.43384102730038,2.8245582616527805
-102.97785949707031, -35.43730545043945, -100.99764339116767,-33.43617766496191,2.8244873901650474
-102.97785949707031, -35.43730545043945, -101.02329487595523,-33.43396399180668,2.82429335500119
-102.97785949707031, -35.43730545043945, -101.03462949164435,-33.4330941824886,2.824047506770281
-102.97785949707031, -35.43730545043945, -101.04426916648302,-33.43693623401701,2.8237346912074464
-102.97785949707031, -35.43730545043945, -101.06422368387476,-33.442092198086435,2.823296475314835
-102.97785949707031, -35.43730545043945, -101.0004295738165,-33.43538586538244,2.8232272240769767
-102.97785949707031, -35.43730545043945, -101.00379091110062,-33.4441703273401,2.8230961424599332
-102.97785949707031, -35.43730545043945, -101.01593680934366,-33.435249114518804,2.822951243645729
-102.97785949707031, -35.43730545043945, -101.03370743320458,-33.44063726552277,2.822691365210232
-102.97785949707031, -35.43730163574219, -100.98946296555654,-33.44262110305202,2.8226468862248226
-102.97785949707031, -35.43730163574219, -100.99073376116641,-33.45440565653094,2.8225375527728604
-102.97785949707031, -35.43730163574219, -100.98323754660518,-33.43933631412058,2.822542122995744
-102.97785949707031, -35.43730163574219, -100.93273093735515,-33.43012547334333,2.822842792174833
-102.97785949707031, -35.43730545043945, -100.96397093358875,-33.432040056339346,2.822975672501275
